,canonized_url,date,original_url,mime_type,response_code,old_checksum,length,raw_url,archive_url
21,"com,twitter)/joebiden",20080907044907,http://www.twitter.com/joebiden,text/html,200,DCVPBHKNYAXDCVLBGYUVCKXFYEKSOY3G,10285,https://web.archive.org/web/20080907044907_id/http://www.twitter.com/joebiden,https://web.archive.org/web/20080907044907/http://www.twitter.com/joebiden
22,"com,twitter)/joebiden",20081009070441,http://twitter.com:80/joebiden/,text/html,200,BUCAIC2FKAEGPBEFRRULGTPB6U2HIC6Q,8877,https://web.archive.org/web/20081009070441_id/http://twitter.com:80/joebiden/,https://web.archive.org/web/20081009070441/http://twitter.com:80/joebiden/
23,"com,twitter)/joebiden",20081016033819,http://twitter.com/joebiden,text/html,200,JNG4SCP3ULHO6KMA4MY7QRSCOUJHBHDM,9101,https://web.archive.org/web/20081016033819_id/http://twitter.com/joebiden,https://web.archive.org/web/20081016033819/http://twitter.com/joebiden
24,"com,twitter)/joebiden",20081016033819,http://twitter.com/joebiden,text/html,200,JNG4SCP3ULHO6KMA4MY7QRSCOUJHBHDM,9101,https://web.archive.org/web/20081016033819_id/http://twitter.com/joebiden,https://web.archive.org/web/20081016033819/http://twitter.com/joebiden
25,"com,twitter)/joebiden",20081017061030,http://twitter.com/joebiden/,text/html,200,6Q762BZZGUJNPBCOIUGCF4JH7VFM4OUY,8987,https://web.archive.org/web/20081017061030_id/http://twitter.com/joebiden/,https://web.archive.org/web/20081017061030/http://twitter.com/joebiden/
26,"com,twitter)/joebiden",20081017061030,http://twitter.com/joebiden/,text/html,200,6Q762BZZGUJNPBCOIUGCF4JH7VFM4OUY,8987,https://web.archive.org/web/20081017061030_id/http://twitter.com/joebiden/,https://web.archive.org/web/20081017061030/http://twitter.com/joebiden/
27,"com,twitter)/joebiden",20081022214440,http://twitter.com/joebiden,text/html,200,YTNHEUICIJ3BFG3F3F66Q5NAFYBXM266,9218,https://web.archive.org/web/20081022214440_id/http://twitter.com/joebiden,https://web.archive.org/web/20081022214440/http://twitter.com/joebiden
28,"com,twitter)/joebiden",20081022214440,http://twitter.com/joebiden,text/html,200,YTNHEUICIJ3BFG3F3F66Q5NAFYBXM266,9218,https://web.archive.org/web/20081022214440_id/http://twitter.com/joebiden,https://web.archive.org/web/20081022214440/http://twitter.com/joebiden
29,"com,twitter)/joebiden",20081023094822,http://twitter.com/joebiden/,text/html,200,O4ETGBEZVIJ6CLXKAC6DCSFJ3UXMJV3Q,9008,https://web.archive.org/web/20081023094822_id/http://twitter.com/joebiden/,https://web.archive.org/web/20081023094822/http://twitter.com/joebiden/
30,"com,twitter)/joebiden",20081023094822,http://twitter.com/joebiden/,text/html,200,O4ETGBEZVIJ6CLXKAC6DCSFJ3UXMJV3Q,9008,https://web.archive.org/web/20081023094822_id/http://twitter.com/joebiden/,https://web.archive.org/web/20081023094822/http://twitter.com/joebiden/
