,canonized_url,date,original_url,mime_type,response_code,old_checksum,length
389,"com,twitter)/potus44",20170831010131,https://twitter.com/POTUS44,text/html,200,IYN7BSE7RULFUIB2AS3DL44UV7SFQ2IT,42049
390,"com,twitter)/potus44",20170831160553,https://twitter.com/POTUS44,text/html,200,LDL74FG2EXZAZVBC3ILXGT6FNZ7JS5AN,40491
391,"com,twitter)/potus44",20170901010617,https://twitter.com/POTUS44,text/html,200,E6RMYF3P6EZGAQRXCJWJHMXTHFUEAQRX,42669
392,"com,twitter)/potus44",20170901034259,https://twitter.com/POTUS44,text/html,200,UR7JGJMWOYLBZLFQITTSLRWHMVPZPRT6,40523
393,"com,twitter)/potus44",20170902012021,https://twitter.com/POTUS44,text/html,200,YG3E6KY4J3YSBIX2QIYZO6QH6HN7WTF5,42351
394,"com,twitter)/potus44",20170902035028,https://twitter.com/POTUS44,text/html,200,EB3EJFWX2SORC4CRK7ZQE3LBKICHRWGN,40645
395,"com,twitter)/potus44",20170903072859,https://twitter.com/POTUS44,text/html,200,CPJYE7FYUDVZD42X3VUKXELEAWYDJBSZ,42299
396,"com,twitter)/potus44",20170903162518,https://twitter.com/POTUS44,text/html,200,U6P5ETGNQH643YR2ZI3UEVIW6TLDZXJP,40418
397,"com,twitter)/potus44",20170904081831,https://twitter.com/POTUS44,text/html,200,KJ3P2ED76BKHN4W24AW2EUMGWF74BRBM,42236
398,"com,twitter)/potus44",20170904094958,https://twitter.com/POTUS44,text/html,200,6E3E454GFYADE5CDM32BWJW3ZIQASN2G,40518
399,"com,twitter)/potus44",20170904111717,https://twitter.com/POTUS44,text/html,200,JLEY3Q7AAEF2WPFV7M2DDU5WVZ4CT22Q,40412
400,"com,twitter)/potus44",20170904160310,https://twitter.com/POTUS44,text/html,200,SAKN3CO2UBPB6CLTR7QKCCKBXWSL774I,40333
401,"com,twitter)/potus44",20170905011730,https://twitter.com/POTUS44,text/html,200,UXXAYGGJQIMD7J24ZGHSAS4NOJOQPQKG,42741
402,"com,twitter)/potus44",20170905015823,https://twitter.com/POTUS44,text/html,200,YSKMR2ECKX7JOCKNK5QWXL2SX3TFQWWS,40869
403,"com,twitter)/potus44",20170905031301,https://twitter.com/POTUS44,text/html,200,TRQRY6T7MNNVFZTRYDQ23H5SRL6CZ7WF,41038
404,"com,twitter)/potus44",20170905082720,https://twitter.com/POTUS44,text/html,200,MYUAY5LQKFLFVQFNGQOPF3TFWFFGTC2G,40920
405,"com,twitter)/potus44",20170905134327,https://twitter.com/POTUS44,text/html,200,BAYVZD6W6AMF6TIZIZNPROP674Q5Z2VS,40672
406,"com,twitter)/potus44",20170905201013,https://twitter.com/POTUS44,text/html,200,BLDGRAI7Z4H6NGGG3V6GAA6YZTOMMKUI,40804
407,"com,twitter)/potus44",20170906034727,https://twitter.com/POTUS44,text/html,200,AEM32KPMKD2BJUYRV5KKHP4AJ2BQ67ZX,40940
408,"com,twitter)/potus44",20170906060508,https://twitter.com/POTUS44,text/html,200,S465O4UIDLPWJSOVMHX5JIJRUIQI6ANS,41123
409,"com,twitter)/potus44",20170907033034,https://twitter.com/POTUS44,text/html,200,DUZB66EJALMG2CILK3ZRU4WYVO5L3QY7,42061
410,"com,twitter)/potus44",20170907062250,https://twitter.com/POTUS44,text/html,200,QHCWWWPND2I4IMWBDIVWQCCDJLEYTOTY,41991
411,"com,twitter)/potus44",20170908004655,https://twitter.com/POTUS44,text/html,200,QBMEN4I6LHNQ2CWNP5MYCLJTIKH7ZLEY,41951
412,"com,twitter)/potus44",20170908033814,https://twitter.com/POTUS44,text/html,200,ILKCSZ4ON2F2ZS4UGCATTHCUPQ4KP2QI,42194
413,"com,twitter)/potus44",20170909014750,https://twitter.com/POTUS44,text/html,200,6CMWPOYYXXF23UZPX6KEVKUXZZBU7EP2,41624
414,"com,twitter)/potus44",20170910014357,https://twitter.com/POTUS44,text/html,200,7BMABXCZ44ZY24MXBDS7VKZYM442A5XJ,41793
415,"com,twitter)/potus44",20170910042016,https://twitter.com/POTUS44,text/html,200,MU7YFSXYYOWDYTQNWRDELD2VCWT2H53A,41675
416,"com,twitter)/potus44",20170910100850,https://twitter.com/POTUS44,text/html,200,SNILK5E2OD5AFNL2O3IJ6YRFFN6QB4LV,41835
417,"com,twitter)/potus44",20170911012027,https://twitter.com/POTUS44,text/html,200,33ELOM7764TUBQOTCEM2TVFCJ4M67HYU,41850
418,"com,twitter)/potus44",20170911033914,https://twitter.com/POTUS44,text/html,200,CDCFENR5FMQFU5VVEMCXQ2DGD4XUT676,41744
419,"com,twitter)/potus44",20170911084245,https://twitter.com/POTUS44,text/html,200,7DFBB5BJZXHL4TEIOLPZK5ZWO4MM63TX,41748
420,"com,twitter)/potus44",20170911095929,https://twitter.com/POTUS44,text/html,200,TJU56B3KPTFJPSCQUTP3TNO4ZQ6DODGS,41549
421,"com,twitter)/potus44",20170911125645,https://twitter.com/POTUS44,text/html,200,FC37A4ZDXHK3WS6IMIJBGLDALQBNIUM5,41682
422,"com,twitter)/potus44",20170911154635,https://twitter.com/POTUS44,text/html,200,Y2RTWWMXDRXL3IFFEINHANXOTZX2ZPWD,41700
423,"com,twitter)/potus44",20170911233735,https://twitter.com/POTUS44,text/html,200,NADOOGYMM6E54WDIJQTBUGQZCOLOGHA5,42152
424,"com,twitter)/potus44",20170912115136,https://twitter.com/POTUS44,text/html,200,WZAU7XP3SOFSKEKPVD5GXFH2CC6226OV,42124
425,"com,twitter)/potus44",20170912204922,https://twitter.com/POTUS44,text/html,200,YOBXVK65XTPFBCH53F6EBEXANMPMZU26,42252
426,"com,twitter)/potus44",20170912220759,https://twitter.com/POTUS44,text/html,200,EMPTIDGVPUIAM4EMQ6HUOONGNIN7OSO4,42072
427,"com,twitter)/potus44",20170912234114,https://twitter.com/POTUS44,text/html,200,Q5OT6YEJZOPPPD7T2PNAXHP2SBGETXNN,42304
428,"com,twitter)/potus44",20170913021906,https://twitter.com/POTUS44,text/html,200,AR5WO4VS4T66SSCKCB5GKCNUQWEB3X53,42106
429,"com,twitter)/potus44",20170913143306,https://twitter.com/POTUS44,text/html,200,GNJMMX7RKQQ6ZQTOONGOE3FKKOPBTY3R,42398
430,"com,twitter)/potus44",20170914013324,https://twitter.com/POTUS44,text/html,200,SEY3IABWITILF247L4VFVWLLT2UBOQV4,42198
431,"com,twitter)/potus44",20170914042152,https://twitter.com/POTUS44,text/html,200,XGNKYTPGCQHZ3JIQG4OT6WGJ2MV4L5MT,42386
432,"com,twitter)/potus44",20170914232056,https://twitter.com/POTUS44,text/html,200,S42QP2QFD6UTYKZUJFL3RK5WI5HANT23,42629
433,"com,twitter)/potus44",20170915020652,https://twitter.com/POTUS44,text/html,200,IPWGCPJMIEWP4GINEQYECSBDEUWMM2RW,42400
434,"com,twitter)/potus44",20170915031917,https://twitter.com/POTUS44,text/html,200,G24CZX5KU7JPFVKAA7CJYCCMBJI4TY2N,42368
435,"com,twitter)/potus44",20170915232415,https://twitter.com/POTUS44,text/html,200,5MQ4CQ5I5YPLWXHXA6SJGRSYQBATFHFP,42477
436,"com,twitter)/potus44",20170916023351,https://twitter.com/POTUS44,text/html,200,Q3AIUWFMQL47MJGGA46ULHIUDKG5FH4L,42533
437,"com,twitter)/potus44",20170916232200,https://twitter.com/POTUS44,text/html,200,ILR4CR25A6U57SBFG4KG2D7HYONO7NYZ,43246
438,"com,twitter)/potus44",20170917142920,https://twitter.com/POTUS44,text/html,200,4TO36PPXPNPBCOWB4JDLGX7I5E5UUOXE,43168
439,"com,twitter)/potus44",20170917233309,https://twitter.com/POTUS44,text/html,200,7YKA23OPVRGZGEYE6K6GMI5CKJUQF6DZ,43156
440,"com,twitter)/potus44",20170918045102,https://twitter.com/POTUS44,text/html,200,Q6NBV6YRMRJPIYEYI35NOZD3FWJOQRRG,43295
441,"com,twitter)/potus44",20170919012158,https://twitter.com/POTUS44,text/html,200,C64OXUF5HU5ZKKOHJFSCZTC7ODLZQDJY,43217
442,"com,twitter)/potus44",20170920012101,https://twitter.com/POTUS44,text/html,200,7M7WXQ36EEWK55IV5PX3IPMA7XPOMYNZ,43194
443,"com,twitter)/potus44",20170920041634,https://twitter.com/POTUS44,text/html,200,ZSJWZV2DYRV2IG5BTNUMESVXEVIWLQGI,43463
444,"com,twitter)/potus44",20170920200719,https://twitter.com/POTUS44,text/html,200,7AWQQOXQFOLDZ66YAKSRUCVCBL2G2DGO,43389
445,"com,twitter)/potus44",20170921012645,https://twitter.com/POTUS44,text/html,200,S3QPKGPANXJUV2X224VV7NIVJIS4HZYZ,43282
446,"com,twitter)/potus44",20170922010357,https://twitter.com/POTUS44,text/html,200,FEJWHMLU7PVPQLGSWUUKP63NGC764XPG,43212
447,"com,twitter)/potus44",20170922040721,https://twitter.com/POTUS44,text/html,200,H655DYVMQOZD4SUO6QC5OK6MVAXKBZIF,43282
448,"com,twitter)/potus44",20170923012927,https://twitter.com/POTUS44,text/html,200,6LH6NOYJTSJT2VGA7PKAAXKX5IK4S7PO,43694
449,"com,twitter)/potus44",20170923041154,https://twitter.com/POTUS44,text/html,200,UPEB65LZMT4D7GOYJK7JKNS34V5WQVXG,43778
